pais_id,nombre,codigo_iso3
1,Afghanistan,
2,Albania,
3,Algeria,
4,American Samoa,
5,Andorra,
6,Angola,
7,Antigua,
8,Argentina,
9,Armenia,
10,Aruba,
11,Australia,
12,Austria,
13,Azerbaijan,
14,Bahamas,
15,Bahrain,
16,Bangladesh,
17,Barbados,
18,Belarus,
19,Belgium,
20,Belize,
21,Benin,
22,Bermuda,
23,Bhutan,
24,Boliva,
25,Bosnia and Herzegovina,
26,Botswana,
27,Brazil,
28,Brunei,
29,Bulgaria,
30,Burkina Faso,
31,Burundi,
32,Cambodia,
33,Cameroon,
34,Canada,
35,Cape Verde,
36,Cayman Islands,
37,Central African Republic,
38,Chad,
39,Chile,
40,China,
41,Colombia,
42,Comoros,
43,Cook Islands,
44,Costa Rica,
45,Croatia,
46,Cuba,
47,Curacao,
48,Cyprus,
49,Czech Republic,
50,Democratic Republic of the Congo,
51,Denmark,
52,Djibouti,
53,Dominica,
54,Dominican Republic,
55,Ecuador,
56,Egypt,
57,El Salvador,
58,Equatorial Guinea,
59,Eritrea,
60,Estonia,
61,Ethiopia,
62,Fiji,
63,Finland,
64,France,
65,Gabon,
66,Gambia,
67,Georgia,
68,Germany,
69,Ghana,
70,Greece,
71,Grenada,
72,Guam,
73,Guatemala,
74,Guinea,
75,Guinea-Bissau,
76,Guyana,
77,Haiti,
78,Honduras,
79,Hungary,
80,Iceland,
81,India,
82,Individual Olympic Athletes,
83,Indonesia,
84,Iran,
85,Iraq,
86,Ireland,
87,Israel,
88,Italy,
89,Ivory Coast,
90,Jamaica,
91,Japan,
92,Jordan,
93,Kazakhstan,
94,Kenya,
95,Kiribati,
96,Kosovo,
97,Kuwait,
98,Kyrgyzstan,
99,Laos,
100,Latvia,
101,Lebanon,
102,Lesotho,
103,Liberia,
104,Libya,
105,Liechtenstein,
106,Lithuania,
107,Luxembourg,
108,Macedonia,
109,Madagascar,
110,Malawi,
111,Malaysia,
112,Maldives,
113,Mali,
114,Malta,
115,Marshall Islands,
116,Mauritania,
117,Mauritius,
118,Mexico,
119,Micronesia,
120,Moldova,
121,Monaco,
122,Mongolia,
123,Montenegro,
124,Morocco,
125,Mozambique,
126,Myanmar,
127,Namibia,
128,Nauru,
129,Nepal,
130,Netherlands,
131,New Zealand,
132,Nicaragua,
133,Niger,
134,Nigeria,
135,North Korea,
136,Norway,
137,Oman,
138,Pakistan,
139,Palau,
140,Palestine,
141,Panama,
142,Papua New Guinea,
143,Paraguay,
144,Peru,
145,Philippines,
146,Poland,
147,Portugal,
148,Puerto Rico,
149,Qatar,
150,Republic of Congo,
151,Romania,
152,Russia,
153,Rwanda,
154,Saint Kitts,
155,Saint Lucia,
156,Saint Vincent,
157,Samoa,
158,San Marino,
159,Sao Tome and Principe,
160,Saudi Arabia,
161,Senegal,
162,Serbia,
163,Seychelles,
164,Sierra Leone,
165,Singapore,
166,Slovakia,
167,Slovenia,
168,Solomon Islands,
169,Somalia,
170,South Africa,
171,South Korea,
172,South Sudan,
173,Spain,
174,Sri Lanka,
175,Sudan,
176,Suriname,
177,Swaziland,
178,Sweden,
179,Switzerland,
180,Syria,
181,Taiwan,
182,Tajikistan,
183,Tanzania,
184,Thailand,
185,Timor-Leste,
186,Togo,
187,Tonga,
188,Trinidad,
189,Tunisia,
190,Turkey,
191,Turkmenistan,
192,UK,
193,USA,
194,Uganda,
195,Ukraine,
196,United Arab Emirates,
197,Uruguay,
198,Uzbekistan,
199,Vanuatu,
200,Venezuela,
201,Vietnam,
202,"Virgin Islands, British",
203,"Virgin Islands, US",
204,Yemen,
205,Zambia,
206,Zimbabwe,
