pais_id,nombre,codigo_iso3
1,Afghanistan,
2,Albania,
3,Algeria,
4,American Samoa,
5,Andorra,
6,Angola,
7,Antigua,
8,Argentina,
9,Armenia,
10,Aruba,
11,Australia,
12,Austria,
13,Azerbaijan,
14,Bahamas,
15,Bahrain,
16,Bangladesh,
17,Barbados,
18,Belarus,
19,Belgium,
20,Belize,
21,Benin,
22,Bermuda,
23,Bhutan,
24,Boliva,
25,Bosnia and Herzegovina,
26,Botswana,
27,Brazil,
28,Brunei,
29,Bulgaria,
30,Burkina Faso,
31,Burundi,
32,Cambodia,
33,Cameroon,
34,Canada,
35,Cape Verde,
36,Cayman Islands,
37,Central African Republic,
38,Chad,
39,Chile,
40,China,
41,Colombia,
42,Comoros,
43,Cook Islands,
44,Costa Rica,
45,Croatia,
46,Cuba,
47,Curacao,
48,Cyprus,
49,Czech Republic,
50,Democratic Republic of the Congo,
51,Denmark,
52,Djibouti,
53,Dominica,
54,Dominican Republic,
55,Ecuador,
56,Egypt,
57,El Salvador,
58,Equatorial Guinea,
59,Eritrea,
60,Estonia,
61,Ethiopia,
62,Fiji,
63,Finland,
64,France,
65,Gabon,
66,Gambia,
67,Georgia,
68,Germany,
69,Ghana,
70,Greece,
71,Grenada,
72,Guam,
73,Guatemala,
74,Guinea,
75,Guinea-Bissau,
76,Guyana,
77,Haiti,
78,Honduras,
79,Hungary,
80,Iceland,
81,India,
82,Indonesia,
83,Iran,
84,Iraq,
85,Ireland,
86,Israel,
87,Italy,
88,Ivory Coast,
89,Jamaica,
90,Japan,
91,Jordan,
92,Kazakhstan,
93,Kenya,
94,Kiribati,
95,Kosovo,
96,Kuwait,
97,Kyrgyzstan,
98,Laos,
99,Latvia,
100,Lebanon,
101,Lesotho,
102,Liberia,
103,Libya,
104,Liechtenstein,
105,Lithuania,
106,Luxembourg,
107,Macedonia,
108,Madagascar,
109,Malawi,
110,Malaysia,
111,Maldives,
112,Mali,
113,Malta,
114,Marshall Islands,
115,Mauritania,
116,Mauritius,
117,Mexico,
118,Micronesia,
119,Moldova,
120,Monaco,
121,Mongolia,
122,Montenegro,
123,Morocco,
124,Mozambique,
125,Myanmar,
126,Namibia,
127,Nauru,
128,Nepal,
129,Netherlands,
130,New Zealand,
131,Nicaragua,
132,Niger,
133,Nigeria,
134,North Korea,
135,Norway,
136,Oman,
137,Pakistan,
138,Palau,
139,Palestine,
140,Panama,
141,Papua New Guinea,
142,Paraguay,
143,Peru,
144,Philippines,
145,Poland,
146,Portugal,
147,Puerto Rico,
148,Qatar,
149,Republic of Congo,
150,Romania,
151,Russia,
152,Rwanda,
153,Saint Kitts,
154,Saint Lucia,
155,Saint Vincent,
156,Samoa,
157,San Marino,
158,Sao Tome and Principe,
159,Saudi Arabia,
160,Senegal,
161,Serbia,
162,Seychelles,
163,Sierra Leone,
164,Singapore,
165,Slovakia,
166,Slovenia,
167,Solomon Islands,
168,Somalia,
169,South Africa,
170,South Korea,
171,South Sudan,
172,Spain,
173,Sri Lanka,
174,Sudan,
175,Suriname,
176,Swaziland,
177,Sweden,
178,Switzerland,
179,Syria,
180,Taiwan,
181,Tajikistan,
182,Tanzania,
183,Thailand,
184,Timor-Leste,
185,Togo,
186,Tonga,
187,Trinidad,
188,Tunisia,
189,Turkey,
190,Turkmenistan,
191,UK,
192,USA,
193,Uganda,
194,Ukraine,
195,United Arab Emirates,
196,Uruguay,
197,Uzbekistan,
198,Vanuatu,
199,Venezuela,
200,Vietnam,
201,"Virgin Islands, British",
202,"Virgin Islands, US",
203,Yemen,
204,Zambia,
205,Zimbabwe,
